symbol,fiscal_year,dividend_pct
SANIMA,074-075,14.0
SANIMA,075-076,11.05
SANIMA,076-077,3.6
SANIMA,077-078,0.89
SANIMA,078-079,0.98
SANIMA,079-080,5.7
SANIMA,080-081,5.26
SANIMA,081-082,7.37
SANVI,079-080,5.25
SAPDBL,071-072,1.0
SAPDBL,072-073,1.0
SAPDBL,073-074,0.25
SAPDBL,074-075,5.04
SARBTM,079-080,15.0
SARBTM,080-081,3.0
SARBTM,081-082,15.0
SBI,067-068,5.0
SBI,068-069,5.0
SBI,069-070,7.5
SBI,070-071,0.0
SBI,071-072,1.42
SBI,072-073,1.53
SBI,073-074,0.81
SBI,074-075,0.0
SBI,075-076,0.0
SBI,076-077,3.47
SBI,077-078,1.81
SBI,078-079,7.53
SBI,079-080,6.8
SBI,080-081,6.85
SBI,081-082,5.0
SBL,067-068,12.79
SBL,068-069,8.42
SBL,069-070,10.11
SBL,070-071,0.0
SBL,071-072,1.05
SBL,072-073,10.0
SBL,074-075,8.16
SBL,075-076,15.26
SBL,076-077,3.0
SBL,077-078,0.75
SBL,078-079,0.66
SBL,079-080,4.21
SBL,080-081,4.0
SBL,081-082,5.53
SCB,067-068,50.0
SCB,068-069,45.0
SCB,069-070,40.0
SCB,070-071,0.0
SCB,071-072,19.21
SCB,072-073,1.75
SCB,073-074,5.26
SCB,074-075,17.5
SCB,076-077,4.84
SCB,077-078,3.06
SCB,078-079,16.51
SCB,079-080,19.0
SCB,080-081,19.0
SCB,081-082,19.0
SGIC,080-081,0.39
SGIC,081-082,0.26
SHEL,080-081,1.0
SHINE,067-068,15.0
SHINE,068-069,0.89
SHINE,069-070,2.0
SHINE,070-071,12.0
SHINE,071-072,1.42
SHINE,074-075,0.93
SHINE,077-078,0.57
SHINE,078-079,0.7
SHINE,079-080,0.55
SHINE,080-081,5.0
SHINE,081-082,10.0
SHIVM,074-075,15.79
SHIVM,075-076,15.79
SHIVM,076-077,24.21
SHIVM,077-078,29.0
SHIVM,078-079,10.53
SHIVM,079-080,0.75
SHIVM,080-081,0.45
SHIVM,081-082,10.0
SHL,066-067,32.63
SHL,067-068,32.63
SHL,068-069,32.63
SHL,069-070,12.63
SHL,070-071,17.89
SHL,071-072,6.58
SHL,072-073,0.0
SHL,073-074,6.05
SHL,074-075,16.32
SHL,075-076,0.0
SHL,078-079,21.32
SHL,079-080,26.58
SHL,080-081,26.84
SHL,081-082,16.58
SHPC,073-074,1.0
SHPC,074-075,5.0
SHPC,075-076,0.53
SHPC,076-077,5.0
SHPC,077-078,0.53
SHPC,078-079,5.26
SHPC,079-080,0.53
SHPC,080-081,0.53
SICL,070-071,1.05
SICL,071-072,1.26
SICL,072-073,3.16
SICL,073-074,1.53
SICL,075-076,1.46
SICL,076-077,1.46
SICL,078-079,1.0
SICL,080-081,0.53
SICL,081-082,0.32
SIFC,067-068,7.11
SIFC,068-069,15.79
SIFC,069-070,10.04
SIFC,070-071,0.63
SIFC,071-072,0.61
SIFC,072-073,0.55
SIFC,074-075,10.0
SIFC,075-076,0.0
SIFC,076-077,3.16
SIFC,077-078,3.3
SIFC,078-079,5.2
SIFC,079-080,5.05
SIFC,080-081,0.1
SIFC,081-082,6.4
SIKLES,076-077,3.6
SIKLES,077-078,10.53
SIKLES,078-079,10.53
