symbol,companyName,securityName,sectorName,instrumentType,regulatoryBody,status,snapshot_date
USHL, Upper Syange Hydropower Limited,Upper Syange Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
VFL,Valley Finance Limited,Valley Finance Limited,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
VLUCL,Vision Lumbini Urja Company Limited,Vision Lumbini Urja Company Limited ,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
WDBL,Western Development Bank Limited,Western Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
YFL,Yeti Finance Ltd.,Yeti Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
YHL,Yak And Yeti Hotel Limited,Yak And Yeti Hotel Limited,Hotels And Tourism,Equity,Ministry of Tourism,S,2026-08-09
YMHL,Yambaling Hydropower Ltd.,Yambaling Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
ZFL,Zenith Finance Limited,Zenith Finance Limited,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
