id,businessDate,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,totalTrades,lastTradedPrice,averageTradedPrice,symbol,securityId
1804709,2025-08-19,1575.0,1588.0,1555.3,1567.06,90210,141472152.4,1561.99,1691.0,722.0,2025-08-19 14:59:57.575893000,660,1569.9,1568.25,NRIC,2881
1804933,2025-08-20,518.0,521.0,517.0,518.81,43704,22666843.8,518.81,675.0,474.1,2025-08-20 14:59:57.641019000,382,519.0,518.64,NABIL,131
1804939,2025-08-20,353.0,356.0,350.0,351.12,58516,20575102.7,350.65,542.6,333.0,2025-08-20 14:59:43.248060000,312,351.9,351.61,NICA,139
1804998,2025-08-20,1400.0,1403.0,1360.0,1361.85,76962,105719087.9,1394.92,1556.1,1136.0,2025-08-20 14:59:45.415758000,836,1364.9,1373.65,HDL,235
1805018,2025-08-20,853.0,860.0,850.1,852.79,12368,10542998.1,852.81,1107.0,835.0,2025-08-20 14:59:22.149224000,209,854.0,852.44,NTC,307
1805224,2025-08-20,1535.8,1599.0,1535.8,1569.66,158629,250979240.7,1567.06,1691.0,722.0,2025-08-20 14:59:59.272166000,816,1569.9,1582.18,NRIC,2881
1805449,2025-08-21,524.9,524.9,517.3,518.14,38427,19925528.2,518.81,668.0,474.1,2025-08-21 14:59:51.809184000,406,519.0,518.53,NABIL,131
1805455,2025-08-21,350.1,353.9,348.0,348.38,47481,16616877.5,351.12,542.6,333.0,2025-08-21 14:59:28.214158000,296,349.0,349.97,NICA,139
1805514,2025-08-21,1362.0,1378.0,1352.5,1371.91,95557,130824447.2,1361.85,1556.1,1136.0,2025-08-21 14:59:59.487745000,779,1375.0,1369.07,HDL,235
1805534,2025-08-21,864.9,864.9,850.0,850.4,22531,19172712.7,852.79,1107.0,835.0,2025-08-21 14:59:59.211085000,294,850.0,850.95,NTC,307
1805740,2025-08-21,1601.0,1601.0,1540.0,1563.17,127600,200959623.3,1569.66,1691.0,722.0,2025-08-21 14:59:59.617419000,622,1562.0,1574.92,NRIC,2881
1805965,2025-08-24,520.0,520.0,513.0,513.56,72676,37383957.5,518.14,654.0,474.1,2025-08-24 14:59:49.075562000,577,513.2,514.39,NABIL,131
1805971,2025-08-24,348.2,349.5,343.0,343.56,94633,32680795.7,348.38,537.9,333.0,2025-08-24 14:59:37.638182000,497,345.0,345.34,NICA,139
1806030,2025-08-24,1344.5,1474.0,1344.5,1421.28,1274225,1757930386.4,1371.91,1556.1,1136.0,2025-08-24 14:59:59.936418000,3576,1423.9,1379.61,HDL,235
1806050,2025-08-24,850.0,863.0,848.0,852.12,14313,12187201.8,850.4,1107.0,835.0,2025-08-24 14:59:48.134039000,209,852.3,851.48,NTC,307
1806256,2025-08-24,1584.0,1590.0,1555.2,1567.57,155938,244772317.7,1563.17,1691.0,722.0,2025-08-24 14:59:59.707775000,766,1569.8,1569.68,NRIC,2881
1806481,2025-08-25,512.0,525.0,509.0,522.58,81167,41935363.2,513.56,640.0,474.1,2025-08-25 14:59:36.934808000,622,520.5,516.66,NABIL,131
1806487,2025-08-25,343.0,345.0,337.0,344.34,76387,26129868.7,343.56,525.0,333.0,2025-08-25 14:59:56.275282000,382,344.9,342.07,NICA,139
1806546,2025-08-25,1420.0,1422.2,1395.0,1405.87,146976,206600376.0,1421.28,1556.1,1136.0,2025-08-25 14:59:59.053846000,1404,1409.0,1405.67,HDL,235
1806566,2025-08-25,849.0,859.0,849.0,850.91,20148,17138223.1,852.12,1107.0,835.0,2025-08-25 14:59:35.023306000,282,850.0,850.62,NTC,307
1806772,2025-08-25,1575.0,1652.0,1552.2,1647.5,475871,769677951.8,1567.57,1691.0,722.0,2025-08-25 14:59:58.354773000,2898,1649.9,1617.41,NRIC,2881
1806998,2025-08-26,514.5,533.0,514.5,529.35,67932,35900524.6,522.58,640.0,474.1,2025-08-26 14:59:56.067167000,509,529.0,528.48,NABIL,131
1807004,2025-08-26,349.9,349.9,344.0,344.53,34295,11850669.8,344.34,525.0,333.0,2025-08-26 14:59:56.016809000,238,344.2,345.55,NICA,139
1807063,2025-08-26,1424.0,1424.0,1390.0,1398.6,120204,168409343.0,1405.87,1556.1,1136.0,2025-08-26 14:59:55.568707000,860,1399.0,1401.03,HDL,235
1807083,2025-08-26,866.6,866.6,849.9,850.34,17137,14577926.9,850.91,1107.0,835.0,2025-08-26 14:59:39.827769000,297,850.0,850.67,NTC,307
1807289,2025-08-26,1647.5,1688.0,1640.0,1685.72,293532,489578224.7,1647.5,1691.0,722.0,2025-08-26 14:59:59.872562000,2117,1686.2,1667.89,NRIC,2881
1807515,2025-08-27,539.9,539.9,526.5,533.87,64476,34175100.6,529.35,630.0,474.1,2025-08-27 14:59:59.511857000,543,533.5,530.04,NABIL,131
1807521,2025-08-27,351.4,352.9,345.2,351.44,75720,26464709.2,344.53,516.0,333.0,2025-08-27 14:59:41.011676000,373,352.5,349.51,NICA,139
1807580,2025-08-27,1404.0,1443.4,1387.0,1440.03,305367,434007681.1,1398.6,1556.1,1136.0,2025-08-27 14:59:58.652035000,2044,1440.0,1421.27,HDL,235
1807600,2025-08-27,867.3,867.3,849.1,852.06,47731,40618227.2,850.34,1107.0,835.0,2025-08-27 14:59:47.566017000,516,855.0,850.98,NTC,307
1807806,2025-08-27,1685.0,1738.0,1669.0,1731.89,294510,505276277.0,1685.72,1738.0,722.0,2025-08-27 14:59:59.358105000,2293,1731.0,1715.65,NRIC,2881
1808032,2025-08-28,532.0,538.9,527.0,528.86,83641,44571924.6,533.87,625.0,474.1,2025-08-28 14:59:50.042106000,489,529.0,532.9,NABIL,131
1808038,2025-08-28,352.0,355.0,350.0,351.32,63594,22397074.1,351.44,512.0,333.0,2025-08-28 14:59:58.110074000,391,351.0,352.19,NICA,139
1808097,2025-08-28,1440.0,1459.0,1416.1,1419.3,243935,350421793.4,1440.03,1556.1,1136.0,2025-08-28 14:59:57.076700000,1918,1419.0,1436.54,HDL,235
1808117,2025-08-28,868.8,868.8,848.7,849.32,38036,32350190.5,852.06,1107.0,835.0,2025-08-28 14:59:35.670447000,402,851.9,850.52,NTC,307
1808323,2025-08-28,1735.0,1743.0,1671.0,1689.84,384160,654403822.1,1731.89,1743.0,722.0,2025-08-28 14:59:55.503006000,2138,1689.0,1703.47,NRIC,2881
1808549,2025-08-31,535.0,536.9,520.0,520.84,66938,35271776.5,528.86,623.0,474.1,2025-08-31 14:59:58.987921000,483,521.0,526.93,NABIL,131
1808555,2025-08-31,352.0,353.0,345.0,346.46,31039,10759272.7,351.32,512.0,333.0,2025-08-31 14:59:47.891609000,252,347.0,346.64,NICA,139
1808614,2025-08-31,1447.0,1447.0,1389.0,1390.98,187677,263326384.2,1419.3,1556.1,1136.0,2025-08-31 14:59:53.860428000,1329,1392.0,1403.08,HDL,235
1808634,2025-08-31,851.5,852.0,845.1,848.27,23673,20072605.3,849.32,1107.0,835.0,2025-08-31 14:59:54.260063000,308,847.0,847.91,NTC,307
1808840,2025-08-31,1665.0,1708.0,1655.0,1667.07,270397,454645364.1,1689.84,1743.0,722.0,2025-08-31 14:59:59.363344000,1633,1655.0,1681.4,NRIC,2881
1809067,2025-09-01,531.2,531.2,518.0,527.66,42334,22222760.8,520.84,623.0,474.1,2025-09-01 14:59:58.409256000,354,528.5,524.94,NABIL,131
1809073,2025-09-01,353.3,353.3,341.0,350.02,62119,21489767.6,346.46,512.0,333.0,2025-09-01 14:59:43.589201000,383,351.0,345.95,NICA,139
1809132,2025-09-01,1395.0,1414.0,1384.0,1408.63,155571,218118788.1,1390.98,1556.1,1136.0,2025-09-01 14:59:56.516331000,1012,1410.5,1402.05,HDL,235
1809152,2025-09-01,865.2,865.2,840.0,843.03,29413,24852190.4,848.27,1107.0,835.0,2025-09-01 14:59:56.232369000,416,841.0,844.94,NTC,307
1809358,2025-09-01,1634.0,1700.0,1634.0,1674.55,168071,280823184.5,1667.07,1743.0,722.0,2025-09-01 14:59:59.424802000,1047,1678.0,1670.86,NRIC,2881
1809585,2025-09-02,538.2,538.2,523.3,523.75,34983,18405010.2,527.66,623.0,474.1,2025-09-02 14:59:54.023056000,371,523.5,526.11,NABIL,131
1809591,2025-09-02,357.0,357.0,345.0,345.15,45243,15760942.6,350.02,512.0,333.0,2025-09-02 14:59:12.330130000,293,345.2,348.36,NICA,139
1809650,2025-09-02,1380.5,1434.0,1380.5,1391.87,101739,142690461.6,1408.63,1556.1,1136.0,2025-09-02 14:59:57.314720000,812,1395.9,1402.51,HDL,235
1809670,2025-09-02,859.8,859.8,843.1,844.1,23696,20014912.8,843.03,1107.0,835.0,2025-09-02 14:59:55.828688000,203,845.0,844.65,NTC,307
1809876,2025-09-02,1641.1,1842.0,1641.1,1665.64,135080,227045814.3,1674.55,1842.0,722.0,2025-09-02 14:59:58.953545000,939,1675.0,1680.82,NRIC,2881
1810104,2025-09-03,520.0,529.0,519.0,519.88,34096,17740832.0,523.75,622.2,474.1,2025-09-03 14:59:57.437048000,354,521.0,520.32,NABIL,131
1810110,2025-09-03,346.5,346.8,344.0,344.79,22544,7786264.7,345.15,507.9,333.0,2025-09-03 14:59:35.719321000,191,345.5,345.38,NICA,139
1810169,2025-09-03,1419.7,1419.7,1383.1,1386.49,86112,119771725.4,1391.87,1556.1,1136.0,2025-09-03 14:59:55.901538000,709,1385.0,1390.88,HDL,235
1810189,2025-09-03,850.0,850.0,844.2,845.66,7306,6185948.7,844.1,1107.0,835.0,2025-09-03 14:59:50.542934000,137,846.0,846.69,NTC,307
1810395,2025-09-03,1660.0,1686.0,1660.0,1663.88,156818,261586238.0,1665.64,1842.0,722.0,2025-09-03 14:59:59.621299000,831,1666.0,1668.09,NRIC,2881
1810623,2025-09-04,528.0,528.0,515.0,517.58,40199,20749919.0,519.88,619.0,474.1,2025-09-04 14:59:58.149319000,430,518.8,516.18,NABIL,131
1810629,2025-09-04,341.3,345.0,341.3,344.18,46045,15781524.1,344.79,505.0,333.0,2025-09-04 14:59:52.782217000,244,344.0,342.74,NICA,139
1810688,2025-09-04,1359.0,1400.0,1359.0,1387.6,113372,157176836.6,1386.49,1556.1,1136.0,2025-09-04 14:59:56.890983000,906,1390.0,1386.38,HDL,235
1810708,2025-09-04,845.0,858.0,835.0,839.51,31682,26576163.5,845.66,1107.0,835.0,2025-09-04 14:59:00.822490000,464,841.0,838.84,NTC,307
1810914,2025-09-04,1660.0,1677.0,1630.0,1658.08,213812,353570151.7,1663.88,1842.0,722.0,2025-09-04 14:59:59.502205000,1312,1669.9,1653.65,NRIC,2881
1811142,2025-09-07,507.3,517.8,507.3,514.87,25831,13310474.8,517.58,619.0,474.1,2025-09-07 14:59:45.331724000,350,514.7,515.29,NABIL,131
1811148,2025-09-07,338.0,344.7,338.0,341.54,33752,11540652.0,344.18,505.0,333.0,2025-09-07 14:59:53.916955000,225,341.1,341.92,NICA,139
1811207,2025-09-07,1360.0,1409.0,1360.0,1389.86,115065,160510739.7,1387.6,1556.1,1136.0,2025-09-07 14:59:54.793281000,835,1388.1,1394.96,HDL,235
